License plate,Frame no.,Timestamp(seconds)
XS-NB-23,17,1.42
72-VGX-6,125,10.42
99-SZG-5,162,13.50
24-LB-HT,233,19.42
97-FB-FP,305,25.42
67-XM-6V,330,27.50
67-XM-6D,351,29.25
56-JTT-5,414,34.50
88-BB-TS,449,37.42
56-JTT-5,486,40.50
ZD-PB-67,519,43.25
92-GS-VH,555,46.25
73-PV-HB,630,52.50
43-HNN-2,736,61.33
43-JS-KT,774,64.50
63-HK-HD,815,67.92
92-LHR-6,845,70.42
63-HK-HD,872,72.67
63-HK-HD,886,73.83
3-VFX-39,919,76.58
01-XJ-ND,953,79.42
96-ND-JB,990,82.50
57-LF-JB,1017,84.75
VD-020-P,1060,88.33
5-SXB-74,1100,91.67
23-GSR-5,1148,95.67
27-LH-TB,1200,100.00
XH-PM-44,1264,105.33
64-LJ-GF,1393,116.08
41-GFZ-8,1423,118.58
89-LZ-GX,1528,127.33
